stop_id,stop_name,stop_lat,stop_lon
1075,17TH-IRVINE,33.628934,-117.909106
1076,17TH-TUSTIN,33.630636,-117.911741
1077,17TH-SANTA ANA,33.633363,-117.91565
1078,17TH-ORANGE,33.635367,-117.918462
1079,17TH-NEWPORT,33.63658,-117.920985
1080,17TH-SUPERIOR,33.636311,-117.923934
1081,17TH-POMONA,33.636289,-117.927164
1090,19TH-POMONA,33.643293,-117.927095
1091,19TH-ANAHEIM,33.643307,-117.922846
1096,19TH-NEWPORT,33.643562,-117.916916
1097,19TH-HARBOR,33.643551,-117.920018
1099,19TH-MEYER,33.643501,-117.925124
1102,ADAMS-ALBATROSS,33.672337,-117.940109
1103,ADAMS-PLACENTIA,33.672386,-117.934827
1104,ADAMS-MESA VERDE,33.67276,-117.924792
1106,ADAMS-HARBOR,33.673234,-117.919845
1107,ADAMS-PINECREEK,33.674766,-117.913896
1108,ADAMS-FAIRVIEW,33.675805,-117.908818
1109,ADAMS-FAIRVIEW,33.675783,-117.910987
1110,ADAMS-PINECREEK,33.674894,-117.914364
1111,ADAMS-HARBOR,33.673435,-117.91875
1113,ADAMS-MESA VERDE,33.673,-117.924997
1114,ADAMS-MESA VERDE,33.672648,-117.936003
1115,ADAMS-SHANTAR,33.672624,-117.94019
1117,ANTON-SAKIOKA,33.690297,-117.879027
1119,ANTON-PARK CENTER,33.69027,-117.8836
1122,BAKER-COOLIDGE,33.680009,-117.90375
1123,BAKER-MENDOZA,33.680003,-117.90065
1124,BAKER-HYDE,33.679971,-117.895997
1125,BAKER-BEAR,33.679974,-117.893917
1126,BAKER-CENTURY,33.679978,-117.889811
1132,BAKER-RANDOLPH,33.680219,-117.887586
1133,BAKER-JEFFREY,33.680203,-117.890725
1134,BAKER-BEAR,33.680201,-117.895236
1135,BAKER-POWELL,33.68022,-117.897307
1136,BAKER-GRANT,33.680222,-117.900684
1137,BAKER-FAIRVIEW,33.680206,-117.90556
1138,BRISTOL-RED HILL,33.667102,-117.882501
1139,BRISTOL-RANDOLPH,33.676804,-117.887375
1140,BRISTOL-BAKER,33.681024,-117.885527
1141,BRISTOL-PAULARINO,33.682649,-117.885446
1142,BRISTOL-ANTON,33.691116,-117.885348
1143,BRISTOL-TOWN CENTER,33.692073,-117.885721
1144,BRISTOL-PAULARINO,33.682026,-117.885855
1145,BRISTOL-BAKER,33.680463,-117.885934
1146,BRISTOL-BAKER,33.679148,-117.885916
1147,BRISTOL-RANDOLPH,33.676782,-117.887759
1148,BRISTOL-BEAR,33.674399,-117.889274
1155,FAIR-FAIRVIEW,33.663758,-117.906345
1156,FAIR-ENT VANGUARD,33.663778,-117.901677
1157,DEL MAR-NEWPORT,33.662327,-117.896432
1158,DEL MAR-ORANGE,33.660547,-117.893951
1159,DEL MAR-SANTA ANA,33.658306,-117.890734
1160,DEL MAR-SANTA ANA,33.658543,-117.890686
1161,DEL MAR-ORANGE,33.660423,-117.893407
1162,DEL MAR-NEWPORT,33.662363,-117.896123
1163,FAIR-ENT 88 OC FAIRGROUNDS,33.663941,-117.903072
1168,FAIRVIEW-WILSON,33.656815,-117.907526
1170,FAIRVIEW-YORKTOWN,33.66097,-117.907596
1171,FAIRVIEW-FAIR,33.664254,-117.907524
1172,FAIRVIEW-MERRIMAC,33.666786,-117.90756
1173,FAIRVIEW-ARLINGTON,33.670263,-117.907604
1174,FAIRVIEW-EL CAMINO,33.675425,-117.907615
1175,FAIRVIEW-BAKER,33.679044,-117.907602
1176,FAIRVIEW-PAULARINO,33.682765,-117.907691
1178,FAIRVIEW-SOUTH COAST,33.69175,-117.907623
1179,FAIRVIEW-SUNFLOWER,33.695317,-117.907924
1180,FAIRVIEW-SOUTH COAST,33.693134,-117.907975
1181,FAIRVIEW-SOUTH COAST,33.691598,-117.907938
1183,FAIRVIEW-PAULARINO,33.682693,-117.907978
